#options: 480x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:72 out:72 type:P dur:2 cpbdur:2 q:26.77 aq:21.83 tex:34840 mv:6512 misc:368 imb:264 pmb:333 smb:93 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:26.78 aq:21.66 tex:51996 mv:6509 misc:247 imb:325 pmb:365 smb:0 d:- ref:0 w:6,73,-17,6,66,-5,57,13 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:26.82 aq:21.99 tex:33653 mv:6054 misc:437 imb:237 pmb:358 smb:95 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:26.81 aq:22.76 tex:33957 mv:5545 misc:514 imb:184 pmb:333 smb:173 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:26.87 aq:22.28 tex:39122 mv:6578 misc:396 imb:231 pmb:377 smb:82 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:27.03 aq:21.70 tex:29722 mv:6211 misc:483 imb:184 pmb:407 smb:99 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:27.07 aq:22.91 tex:28626 mv:6449 misc:445 imb:170 pmb:429 smb:91 d:- ref:0 ;
in:80 out:79 type:P dur:2 cpbdur:2 q:27.11 aq:23.26 tex:44902 mv:7254 misc:236 imb:280 pmb:389 smb:21 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:27.09 aq:25.02 tex:26522 mv:7492 misc:426 imb:113 pmb:487 smb:90 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:27.21 aq:24.07 tex:40846 mv:6631 misc:331 imb:175 pmb:423 smb:92 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:27.22 aq:24.29 tex:34489 mv:6696 misc:367 imb:161 pmb:446 smb:83 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:27.34 aq:24.92 tex:35896 mv:7385 misc:255 imb:231 pmb:423 smb:36 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:27.28 aq:26.09 tex:23162 mv:7567 misc:343 imb:78 pmb:530 smb:82 d:- ref:0 ;
in:85 out:85 type:I dur:2 cpbdur:2 q:23.43 aq:19.76 tex:52026 mv:21361 misc:413 imb:690 pmb:0 smb:0 d:- ref:;
in:86 out:86 type:P dur:2 cpbdur:2 q:27.48 aq:22.00 tex:48644 mv:6344 misc:396 imb:227 pmb:381 smb:82 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:27.54 aq:24.09 tex:21831 mv:4881 misc:472 imb:91 pmb:421 smb:178 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:27.53 aq:23.53 tex:27152 mv:5359 misc:409 imb:84 pmb:448 smb:158 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:27.67 aq:25.21 tex:12767 mv:3931 misc:542 imb:49 pmb:373 smb:268 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:27.79 aq:25.27 tex:36040 mv:5908 misc:324 imb:204 pmb:362 smb:124 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:27.76 aq:24.19 tex:19348 mv:5281 misc:483 imb:153 pmb:388 smb:149 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:27.76 aq:24.22 tex:38183 mv:5959 misc:306 imb:253 pmb:339 smb:98 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:27.68 aq:23.75 tex:42706 mv:6318 misc:240 imb:219 pmb:377 smb:94 d:- ref:0 ;
